state,month,station_count,city_count,aqi_provisional_median,pm25_median,pm10_median
Gujarat,2021-08-01,12,4,66.17431034482759,33.44,62.15
Gujarat,2021-09-01,13,4,51.0,21.634999999999998,44.565
Gujarat,2021-10-01,10,4,104.61275862068965,48.355000000000004,100.64
Gujarat,2021-11-01,13,4,118.39327586206896,66.095,106.38
Gujarat,2021-12-01,13,4,108.62765100671142,59.34,112.48
Gujarat,2022-01-01,13,4,102.54812080536912,56.63,103.33
Gujarat,2022-02-01,13,4,143.58706896551723,70.83000000000001,129.99
Gujarat,2022-03-01,13,4,147.66655172413795,73.38,133.675
Gujarat,2022-04-01,11,4,102.3126510067114,55.519999999999996,102.185
Gujarat,2022-05-01,11,4,132.74644295302014,65.345,138.37
Gujarat,2022-06-01,10,3,75.59472222222222,36.2775,70.445
Gujarat,2022-07-01,7,4,46.21,24.485,50.16
Gujarat,2022-08-01,6,3,57.61396551724138,27.410000000000004,56.650000000000006
Gujarat,2022-09-01,7,4,76.995,33.415,71.0
Gujarat,2022-10-01,7,4,108.3055172413793,59.37,114.32
Gujarat,2022-11-01,7,4,169.20758620689654,80.97999999999999,145.495
Gujarat,2022-12-01,7,4,117.08583892617449,62.88,124.56
Gujarat,2023-01-01,6,3,118.14560402684565,61.405,124.815
Gujarat,2023-02-01,12,4,160.424801550567,76.9,144.225
Gujarat,2023-03-01,12,4,107.89345637583892,54.65,104.445
Gujarat,2023-04-01,12,4,110.22657123438961,54.17,112.6575
Gujarat,2023-05-01,13,4,92.54,44.49,83.84
Gujarat,2023-06-01,11,4,73.34,30.075,71.005
Gujarat,2023-07-01,10,4,76.815,27.46,55.792500000000004
Maharashtra,2021-08-01,22,8,52.85,18.61,42.43000000000001
Maharashtra,2021-09-01,21,6,46.30500000000001,14.780000000000001,36.625
Maharashtra,2021-10-01,24,9,93.2475,39.15,89.8775
Maharashtra,2021-11-01,24,9,140.58293103448275,69.06,129.12
Maharashtra,2021-12-01,24,9,185.00491379310347,85.25,164.79500000000002
Maharashtra,2022-01-01,23,9,155.37026845637587,66.775,154.68
Maharashtra,2022-02-01,23,9,138.83261744966444,59.58,152.55
Maharashtra,2022-03-01,24,9,148.65953020134228,62.349999999999994,163.61
Maharashtra,2022-04-01,23,9,112.42486577181208,41.349999999999994,118.15
Maharashtra,2022-05-01,23,9,110.72060402684563,30.62,115.42
Maharashtra,2022-06-01,23,9,57.85,16.112499999999997,48.75
Maharashtra,2022-07-01,18,8,59.105000000000004,17.0,46.95
Maharashtra,2022-08-01,20,8,51.0,13.9,42.63
Maharashtra,2022-09-01,21,8,58.815,20.05,51.67
Maharashtra,2022-10-01,22,8,83.72,33.12,81.91499999999999
Maharashtra,2022-11-01,21,7,167.46655172413793,71.64999999999999,156.64
Maharashtra,2022-12-01,21,8,176.67187919463086,70.225,195.08
Maharashtra,2023-01-01,23,8,191.0558620689655,77.17,190.81
Maharashtra,2023-02-01,21,8,169.07412751677853,67.0675,194.935
Maharashtra,2023-03-01,21,8,120.83413793103449,51.730000000000004,125.75
Maharashtra,2023-04-01,21,8,96.06,31.1675,90.87
Maharashtra,2023-05-01,25,11,77.55,23.455,73.46
Maharashtra,2023-06-01,32,13,76.685,20.3425,69.6225
Maharashtra,2023-07-01,57,25,40.54,14.3975,37.795
Odisha,2022-12-01,7,7,165.65724137931034,79.94,152.66
Odisha,2023-01-01,7,7,215.57689655172413,95.27,177.93
Odisha,2023-02-01,7,7,127.09546979865772,65.125,140.27499999999998
Odisha,2023-03-01,7,7,134.96724137931034,70.37,132.1
Odisha,2023-04-01,7,7,109.70734899328859,55.785,111.245
Odisha,2023-05-01,7,7,90.6,39.13,90.6
Odisha,2023-06-01,7,7,92.93,40.705,92.12
Odisha,2023-07-01,7,7,47.97,19.9,47.004999999999995
