From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,source_file,expected_state,date,to_date,state,city,station,month,valid_pollutant_count,has_particulate,all_pollutants_missing,record_key,Ozone_subindex_provisional,CO_subindex_provisional,SO2_subindex_provisional,NO2_subindex_provisional,PM10_subindex_provisional,PM2.5_subindex_provisional,aqi_ready_provisional,aqi_provisional
01-08-2021 00:00,02-08-2021 00:00,11.43,0.37,2.17,15.46,54.58,32.15,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-01,2021-08-02,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-01",11.43,18.5,2.7125,19.325000000000003,54.58,52.94310344827586,True,54.58
02-08-2021 00:00,03-08-2021 00:00,10.46,0.39,2.01,15.24,48.56,28.08,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-02,2021-08-03,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-02",10.46,19.5,2.5125,19.05,48.56,46.8,True,48.56
03-08-2021 00:00,04-08-2021 00:00,10.37,0.38,1.96,16.97,60.0,33.85,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-03,2021-08-04,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-03",10.37,19.0,2.45,21.2125,60.0,55.81551724137931,True,60.0
04-08-2021 00:00,05-08-2021 00:00,11.43,0.36,1.98,15.89,77.8,42.92,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-04,2021-08-05,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-04",11.43,18.0,2.475,19.8625,77.8,71.14068965517242,True,77.8
05-08-2021 00:00,06-08-2021 00:00,12.43,0.41,2.04,14.9,83.01,46.26,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-05,2021-08-06,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-05",12.43,20.5,2.55,18.625,83.01,76.78413793103448,True,83.01
06-08-2021 00:00,07-08-2021 00:00,13.65,1.09,1.99,12.75,84.63,48.31,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-06,2021-08-07,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-06",13.65,51.0,2.4875,15.9375,84.63,80.24793103448276,True,84.63
07-08-2021 00:00,08-08-2021 00:00,14.88,1.12,2.13,14.7,96.37,52.99,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-07,2021-08-08,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-07",14.88,52.08888888888889,2.6625,18.375,96.37,88.15551724137931,True,96.37
08-08-2021 00:00,09-08-2021 00:00,13.62,1.09,2.16,14.96,97.62,52.76,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-08,2021-08-09,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-08",13.62,51.0,2.7,18.700000000000003,97.62,87.76689655172413,True,97.62
09-08-2021 00:00,10-08-2021 00:00,13.9,1.08,2.06,14.71,85.84,45.55,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-09,2021-08-10,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-09",13.9,51.0,2.575,18.387500000000003,85.84,75.58448275862068,True,85.84
10-08-2021 00:00,11-08-2021 00:00,14.83,1.18,2.15,15.33,76.79,39.84,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",Gujarat.xlsx,Gujarat,2021-08-10,2021-08-11,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2021-08-01,6,True,False,"Gujarat|Ahmedabad|SVPI Airport Hansol, Ahmedabad - IITM|2021-08-10",14.83,55.35555555555555,2.6875,19.1625,76.79,65.93655172413794,True,76.79
